filename,width,height,class,xmin,ymin,xmax,ymax
VOC2007_766.jpg,375,500,hand,222,225,243,249
VOC2010_199.jpg,500,333,hand,285,225,320,262
VOC2010_857.jpg,500,375,hand,318,97,344,117
VOC2010_857.jpg,500,375,hand,239,191,264,221
VOC2010_857.jpg,500,375,hand,72,294,115,320
VOC2010_857.jpg,500,375,hand,115,315,153,351
VOC2010_1056.jpg,375,500,hand,130,164,157,190
VOC2010_1056.jpg,375,500,hand,200,37,228,83
Poselet_318.jpg,1024,768,hand,228,345,284,390
Poselet_318.jpg,1024,768,hand,88,370,142,423
Poselet_318.jpg,1024,768,hand,311,441,350,497
Poselet_318.jpg,1024,768,hand,540,347,590,389
Poselet_318.jpg,1024,768,hand,413,724,488,768
Poselet_318.jpg,1024,768,hand,630,719,691,768
Poselet_318.jpg,1024,768,hand,683,720,742,768
Poselet_318.jpg,1024,768,hand,791,690,839,768
Poselet_318.jpg,1024,768,hand,789,268,844,314
Poselet_318.jpg,1024,768,hand,734,464,764,520
Poselet_318.jpg,1024,768,hand,808,272,877,348
VOC2007_183.jpg,500,333,hand,130,243,157,269
VOC2007_183.jpg,500,333,hand,342,143,361,164
VOC2007_183.jpg,500,333,hand,391,199,415,219
VOC2007_183.jpg,500,333,hand,123,174,144,195
VOC2010_162.jpg,500,333,hand,251,190,291,226
VOC2010_162.jpg,500,333,hand,343,182,378,220
VOC2007_560.jpg,500,322,hand,95,162,131,193
VOC2007_560.jpg,500,322,hand,309,97,332,140
VOC2007_369.jpg,500,375,hand,207,223,244,250
Buffy_65.jpg,619,766,hand,208,532,238,576
Buffy_65.jpg,619,766,hand,304,295,348,357
VOC2007_653.jpg,500,375,hand,203,222,240,240
VOC2007_653.jpg,500,375,hand,46,66,68,88
VOC2007_653.jpg,500,375,hand,309,239,347,275
VOC2010_794.jpg,500,375,hand,220,299,251,336
VOC2010_794.jpg,500,375,hand,340,295,364,327
Poselet_232.jpg,768,1024,hand,144,499,206,560
Poselet_232.jpg,768,1024,hand,249,502,307,559
Poselet_232.jpg,768,1024,hand,681,544,751,615
Buffy_477.jpg,757,873,hand,491,311,573,407
Poselet_113.jpg,768,1024,hand,373,727,386,746
Poselet_113.jpg,768,1024,hand,386,679,397,693
Buffy_480.jpg,655,755,hand,335,481,395,539
Buffy_218.jpg,466,570,hand,178,293,232,333
Buffy_218.jpg,466,570,hand,224,284,274,338
VOC2007_375.jpg,500,375,hand,145,293,194,334
VOC2007_375.jpg,500,375,hand,397,292,460,357
VOC2010_524.jpg,380,378,hand,66,194,136,247
VOC2010_524.jpg,380,378,hand,69,294,193,378
VOC2010_291.jpg,500,375,hand,34,331,123,375
VOC2010_291.jpg,500,375,hand,292,315,363,375
Buffy_543.jpg,601,551,hand,263,360,318,414
VOC2010_1309.jpg,377,500,hand,174,287,235,324
VOC2010_1309.jpg,377,500,hand,237,294,293,343
VOC2007_521.jpg,500,375,hand,195,212,252,292
VOC2007_521.jpg,500,375,hand,409,140,456,178
VOC2007_49.jpg,332,500,hand,68,252,102,282
VOC2010_527.jpg,480,360,hand,417,223,480,313
Buffy_40.jpg,489,567,hand,212,289,265,334
Buffy_40.jpg,489,567,hand,279,324,321,366
VOC2010_1070.jpg,500,375,hand,132,190,182,243
VOC2010_1070.jpg,500,375,hand,280,102,308,137
Inria_486.jpg,640,480,hand,259,198,295,233
Inria_486.jpg,640,480,hand,392,186,424,220
Poselet_174.jpg,900,1200,hand,322,568,444,658
Buffy_158.jpg,774,560,hand,108,285,164,359
Buffy_123.jpg,520,588,hand,244,319,305,364
Skin_52.jpg,340,375,hand,57,181,114,238
Skin_52.jpg,340,375,hand,235,213,264,241
Skin_52.jpg,340,375,hand,257,230,275,248
VOC2010_646.jpg,375,500,hand,208,214,262,263
VOC2010_646.jpg,375,500,hand,231,236,301,303
VOC2010_646.jpg,375,500,hand,294,106,360,194
Poselet_114.jpg,1024,768,hand,201,544,259,643
Poselet_114.jpg,1024,768,hand,433,572,494,653
Poselet_114.jpg,1024,768,hand,776,581,809,657
Poselet_245.jpg,1024,768,hand,572,81,621,135
Poselet_245.jpg,1024,768,hand,923,477,961,512
